Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-11 00:00:00,60943.375,61162.3203125,60924.76171875,61134.14453125,61134.14453125,27507712
2024-08-11 00:15:00,61173.02734375,61192.37890625,61051.5625,61073.8984375,61073.8984375,18353152
2024-08-11 00:30:00,61061.26953125,61172.703125,61044.6875,61114.2578125,61114.2578125,0
2024-08-11 00:45:00,61107.6328125,61143.03125,61086.015625,61092.81640625,61092.81640625,0
2024-08-11 01:00:00,61102.453125,61122.296875,61050.55859375,61122.296875,61122.296875,0
2024-08-11 01:15:00,61135.046875,61135.046875,60988.921875,61043.81640625,61043.81640625,0
2024-08-11 01:30:00,61040.3828125,61128.76171875,61025.00390625,61127.2109375,61127.2109375,0
2024-08-11 01:45:00,61134.0078125,61176.3984375,61108.4765625,61159.6953125,61159.6953125,0
2024-08-11 02:00:00,61138.15234375,61138.15234375,61088.671875,61088.671875,61088.671875,0
2024-08-11 02:15:00,61077.2109375,61077.2109375,61040.0078125,61047.3984375,61047.3984375,2854912
2024-08-11 02:30:00,61043.16015625,61070.6484375,61000.09765625,61038.21484375,61038.21484375,19911680
2024-08-11 02:45:00,61027.015625,61058.41015625,61019.38671875,61038.671875,61038.671875,4797440
2024-08-11 03:00:00,61039.734375,61181.4609375,61039.734375,61181.4609375,61181.4609375,12279808
2024-08-11 03:15:00,61156.59765625,61368.1328125,61156.59765625,61302.20703125,61302.20703125,127187968
2024-08-11 03:30:00,61328.50390625,61369.48828125,61237.2265625,61243.0,61243.0,96658432
2024-08-11 03:45:00,61254.23828125,61254.23828125,61110.9609375,61114.9453125,61114.9453125,19891200
2024-08-11 04:00:00,61125.50390625,61133.71484375,61077.14453125,61085.21875,61085.21875,0
2024-08-11 04:15:00,60999.359375,61056.69921875,60938.01171875,61056.69921875,61056.69921875,86467584
2024-08-11 04:30:00,61061.3515625,61104.90625,60939.42578125,60939.42578125,60939.42578125,31841280
2024-08-11 04:45:00,60932.4296875,60976.30859375,60921.58203125,60935.92578125,60935.92578125,11249664
2024-08-11 05:00:00,60932.41796875,61008.21875,60913.9453125,60976.90625,60976.90625,27071488
2024-08-11 05:15:00,60974.3203125,61033.62109375,60965.28515625,61027.3671875,61027.3671875,16547840
2024-08-11 05:30:00,61031.73046875,61031.73046875,60989.6796875,61028.23828125,61028.23828125,8245248
2024-08-11 05:45:00,61033.80859375,61152.46875,61033.80859375,61152.46875,61152.46875,37914624
2024-08-11 06:00:00,61126.328125,61161.28125,61061.98828125,61122.73828125,61122.73828125,25264128
2024-08-11 06:15:00,61122.23828125,61122.23828125,61083.23828125,61085.6953125,61085.6953125,15931392
2024-08-11 06:30:00,61069.56640625,61174.53515625,61032.21875,61165.78515625,61165.78515625,21610496
2024-08-11 06:45:00,61166.6796875,61166.6796875,61127.3359375,61132.80859375,61132.80859375,18323456
2024-08-11 07:00:00,61130.59765625,61205.359375,61130.59765625,61205.359375,61205.359375,5900288
2024-08-11 07:15:00,61201.7578125,61201.7578125,61117.19921875,61117.19921875,61117.19921875,9407488
2024-08-11 07:30:00,61131.73828125,61247.50390625,61131.73828125,61239.234375,61239.234375,13878272
2024-08-11 07:45:00,61223.265625,61265.9921875,61202.62890625,61263.80859375,61263.80859375,70368256
2024-08-11 08:00:00,61266.6640625,61329.44140625,61206.62109375,61206.62109375,61206.62109375,0
2024-08-11 08:15:00,61228.56640625,61306.0234375,61228.56640625,61268.81640625,61268.81640625,7364608
2024-08-11 08:30:00,61244.984375,61273.31640625,61191.86328125,61273.31640625,61273.31640625,18068480
2024-08-11 08:45:00,61270.69140625,61395.265625,61270.69140625,61297.0234375,61297.0234375,138186752
2024-08-11 09:00:00,61297.421875,61353.0703125,61273.03515625,61329.12890625,61329.12890625,6486016
2024-08-11 09:15:00,61331.49609375,61734.015625,61324.46484375,61432.25390625,61432.25390625,475521024
2024-08-11 09:30:00,61452.08203125,61513.07421875,61158.3828125,61174.84765625,61174.84765625,200929280
2024-08-11 09:45:00,61133.75,61163.81640625,61111.2421875,61111.2421875,61111.2421875,76596224
2024-08-11 10:00:00,61150.453125,61261.5078125,61001.4296875,61261.5078125,61261.5078125,77659136
2024-08-11 10:15:00,61236.56640625,61246.19921875,61110.58984375,61150.66796875,61150.66796875,54571008
2024-08-11 10:30:00,61141.1484375,61157.33203125,61089.890625,61100.3515625,61100.3515625,16038912
2024-08-11 10:45:00,61098.05859375,61149.82421875,61059.94921875,61064.46484375,61064.46484375,31902720
2024-08-11 11:00:00,61059.9296875,61059.9296875,60646.41015625,60752.72265625,60752.72265625,278592512
2024-08-11 11:15:00,60755.953125,60755.953125,60653.95703125,60725.90234375,60725.90234375,115032064
2024-08-11 11:30:00,60697.29296875,60770.4375,60544.875,60544.875,60544.875,80557056
2024-08-11 11:45:00,60534.35546875,60699.390625,60534.35546875,60699.390625,60699.390625,181364736
2024-08-11 12:00:00,60698.1796875,60714.84765625,60428.58984375,60428.58984375,60428.58984375,62464000
2024-08-11 12:15:00,60358.4921875,60560.55078125,60358.4921875,60541.7578125,60541.7578125,271208448
2024-08-11 12:30:00,60557.03125,60557.03125,60463.8671875,60504.31640625,60504.31640625,34095104
2024-08-11 12:45:00,60499.43359375,60520.04296875,60363.98828125,60520.04296875,60520.04296875,71861248
2024-08-11 13:00:00,60515.46484375,60515.46484375,60230.9375,60268.90625,60268.90625,76291072
2024-08-11 13:15:00,60307.7265625,60389.0234375,60299.6484375,60343.2890625,60343.2890625,58474496
2024-08-11 13:30:00,60317.03125,60445.37109375,60309.19140625,60445.37109375,60445.37109375,82250752
2024-08-11 13:45:00,60460.640625,60612.94921875,60460.640625,60462.58203125,60462.58203125,105223168
2024-08-11 14:00:00,60477.53515625,60503.1171875,60343.25,60468.23046875,60468.23046875,105012224
2024-08-11 14:15:00,60488.078125,60609.31640625,60467.37890625,60519.9296875,60519.9296875,114070528
2024-08-11 14:30:00,60545.26953125,60722.734375,60478.53125,60504.51953125,60504.51953125,168600576
2024-08-11 14:45:00,60520.39453125,60520.39453125,60262.3125,60340.88671875,60340.88671875,189050880
2024-08-11 15:00:00,60368.16015625,60368.16015625,60096.40234375,60241.75,60241.75,349474816
2024-08-11 15:15:00,60237.3046875,60425.08984375,60237.3046875,60425.08984375,60425.08984375,211652608
2024-08-11 15:30:00,60401.78125,60401.78125,60249.80859375,60274.33203125,60274.33203125,26124288
2024-08-11 15:45:00,60293.1015625,60293.1015625,60114.96484375,60147.92578125,60147.92578125,60663808
2024-08-11 16:00:00,60145.3515625,60237.96875,60041.4140625,60041.4140625,60041.4140625,11096064
2024-08-11 16:15:00,60047.28125,60181.62890625,60047.28125,60181.62890625,60181.62890625,71727104
2024-08-11 16:30:00,60217.19140625,60279.6015625,60217.19140625,60253.3203125,60253.3203125,56506368
2024-08-11 16:45:00,60223.19921875,60254.3125,60169.2109375,60209.30078125,60209.30078125,38924288
2024-08-11 17:00:00,60210.375,60290.9921875,60210.375,60219.984375,60219.984375,18135040
2024-08-11 17:15:00,60173.05078125,60177.67578125,60066.4453125,60066.4453125,60066.4453125,69691392
2024-08-11 17:30:00,60075.3984375,60175.40625,60075.3984375,60172.51953125,60172.51953125,74348544
2024-08-11 17:45:00,60198.828125,60344.9765625,60148.484375,60308.44140625,60308.44140625,49184768
2024-08-11 18:00:00,60304.5703125,60305.890625,60232.09375,60259.88671875,60259.88671875,0
2024-08-11 18:15:00,60310.57421875,60311.41015625,60213.88671875,60213.88671875,60213.88671875,0
2024-08-11 18:30:00,60198.78515625,60232.15625,60188.70703125,60220.0234375,60220.0234375,20285440
2024-08-11 18:45:00,60198.765625,60255.54296875,60181.07421875,60255.54296875,60255.54296875,0
2024-08-11 19:00:00,60277.671875,60282.25,60111.67578125,60111.67578125,60111.67578125,4874240
2024-08-11 19:15:00,60102.0078125,60102.0078125,59714.890625,59714.890625,59714.890625,244369408
2024-08-11 19:30:00,59693.20703125,59820.4375,59599.890625,59820.4375,59820.4375,245108736
2024-08-11 19:45:00,59836.765625,59836.765625,59694.50390625,59694.50390625,59694.50390625,114257920
2024-08-11 20:00:00,59654.87109375,59654.87109375,58869.94921875,58967.48046875,58967.48046875,634337280
2024-08-11 20:15:00,59048.3515625,59088.53515625,58646.90625,58646.90625,58646.90625,510558208
2024-08-11 20:30:00,58656.78125,58791.33984375,58484.5,58791.33984375,58791.33984375,412852224
2024-08-11 20:45:00,58751.12890625,58751.12890625,58559.125,58559.125,58559.125,318855168
2024-08-11 21:00:00,58548.4375,58564.83984375,58424.1796875,58564.83984375,58564.83984375,310603776
2024-08-11 21:15:00,58609.5390625,58768.51953125,58609.5390625,58712.1328125,58712.1328125,256174080
2024-08-11 21:30:00,58623.14453125,58829.65234375,58540.9296875,58829.65234375,58829.65234375,95803392
2024-08-11 21:45:00,58978.18359375,59070.8984375,58832.8828125,58986.0390625,58986.0390625,220243968
2024-08-11 22:00:00,59033.79296875,59243.37109375,58692.26953125,58692.26953125,58692.26953125,228796416
